早籼稻1307
华控赛格
沪深1606
新宝股份
上证新兴
玻璃1604
铜1507
黄金1105
纤维板1605
云南铜业
海兴电力
上海临港
招商中证白酒B
*ST大菲
燃料油1801
理邦仪器
聚氯乙烯1206
宇顺电子
棉花0509
*ST弘高
沥青1804
粳稻谷1609
焦煤1604
紫光国芯
蓝思科技
动力煤1412
三峡新材
上证1703
1000信息
铅1308
豆油0709
铝0211
泰胜风能
甲醇1210
合纵科技
菜籽油1305
东方红睿丰混合(LOF)
迪生力
片仔癀
强麦1301
铜1609
铝1010
豆二1007
宁波华翔
天然橡胶1801
PTA1210
聚乙烯1507
科陆电子
新兴铸管
300医药
数字认证
铝0802
棕榈油1309
南方中证1000ETF
民和股份
铜1608
焦炭1306
安井食品
聚丙烯1411
千方科技
聚丙烯1802
深消费50
上证资源
合盛硅业
华鼎股份
ESG40
博时银行B
晚籼稻主力连续
镍1809
运达科技
坤彩科技
豆油1303
宁波韵升
中盘成长
中创100R
铜1101
沥青1806
中科新材
棉花1205
菜籽油1703
线材1608
线材1701
国投瑞银深证100指数(LOF)
阳谷华泰
聚氯乙烯1607
铅1306
国证军工
铜1104
玉米1505
玻璃1412
中信证券
锌1112
一号棉花709
金钼股份
浦银安盛增利分级债券B
*ST锐电
鸡蛋1808
深公司债
黄金1203
豆粕0608
兰太实业
文峰股份
武汉控股
信达澳银稳定增利债券B
华扬联众
华安上证龙头ETF
胶合板1606
强麦0705
厦门港务
绿豆0707
华宝兴业标普中国A股红利A
豆粕0811
佛慈制药
纤维板1703
动力煤704
基本面50
天然橡胶0507
久立特材
天然橡胶0011
华虹计通
申万证券B
诺德双翼债券(LOF)
华谊兄弟
中证1601
福能股份
广发中证全指原材料ETF
泰信基本面400B
内地银行
黄金1305
德宏股份
铝0507
新华龙
新天然气
锌1712
线材1311
玉米指数连续
铝0005
沥青1812
300信息
焦煤1805
沥青1805
300稳定
长信中证一带一路分级B
细分食品
建信上证社会责任ETF
燃料油0904
建信网金融分级A
豆二主力连续价差平滑
中欧信用C(LOF)
棉花0503
豆粕0511
线材1208
铜1712
豆粕1503
上证1509
中远海控
醋化股份
PTA1511
宏润建设
国泰进取
棕榈油1301
汇添富中证环境治理指数(LOF)C
白糖1007
广深铁路
紫江企业
同济堂
菜籽粕707
甲醇1510
焦炭1512
航发科技
白糖1507
铝1104
中科电气
豆粕0712
铝1203
易方达恒生国企(QDII-ETF)
电子
亚盛集团
铜1611
*ST智慧
华安上证180ETF
信诚中证基建工程指数(LOF)
康隆达
新华制药
线材1306
粳稻801
螺纹钢1301
勤上股份
联络互动
线材1810
胶合板1603
锌指数连续
天然橡胶0308
焦炭1210
棕榈油1512
三友化工
创意信息
休闲服务
继峰股份
镍1806
PTA1606
硅铁1511
西仪股份
中毅达
强麦1401
棉花1609
金牌厨柜
铜0910
铝0305
黄金1608
信达地产
奥瑞金
铝0002
燃料油1304
普麦指数连续
动力煤712
铜0402
绿豆0003
科远股份
乐凯胶片
豆一1111
景丰A
道森股份
银华稳进
线材1003
PTA1309
黑芝麻
锌1011
玻璃1610
天然橡胶1209
大元泵业
豆粕0612
有研新材
锌0905
海陆重工
三元股份
正邦科技
玻璃1409
早籼稻1103
云意电气
铜0011
天然橡胶1303
大华农
玉米淀粉1709
莎普爱思
新华中证环保产业指数分级B
快乐购
绿豆0507
中小盘
粤宏远A
焦煤1603
豆粕0307
地企100
豆粕1609
优质强筋小麦707
桂林旅游
壹桥股份
中证200
恒生电子
通富微电
鹏华丰泽债券(LOF)
中环装备
利安隆
德尔股份
10年期国债1809
铝0108
老板电器
豆一0607
豆粕1612
锌1003
广汇汽车
西藏矿业
铅1701
铜1103
玉米1605
海川智能
双汇发展
金禾实业
江苏神通
铜0010
豆一0611
华茂股份
光电股份
硅铁1702
康得新
玉米淀粉1511
中百集团
百利科技
燃料油1004
汇添富中证中药指数(LOF)A
玉米1401
豆一1309
PTA1208
普洛药业
豆一1211
黄金1401
天然橡胶1203
全指公用
玉米0611
豆粕0705
白糖1701
螺纹钢1112
国证新能
艾艾精工
玻璃1411
红太阳
怡亚通
珠江控股
精对苯二甲酸811
东阳光科
富国天惠成长混合(LOF)A
博世科
聚氯乙烯1103
聚氯乙烯1606
中国宝安
新宏泽
豆粕0805
双象股份
焦炭1109
欧比特
贵研铂业
锡1610
麦迪科技
德奥通航
汉王科技
奥佳华
聚乙烯0801
世纪鼎利
豆油1701
青岛金王
启明信息
合肥城建
强生控股
贵阳银行
鲍斯股份
长信中证一带一路分级
新硬件
斯太尔
中国天楹
横店东磁
荣盛石化
上证可选
铝0106
东方锆业
航天信息
螺纹钢1307
泰达宏利聚利A
大成中证500深市ETF
豆粕0903
众生药业
蓝盾股份
聚乙烯1605
玉米淀粉1603
棕榈油1009
创业软件
凤凰光学
天鹅股份
黄大豆2号1803
上证养老
聚丙烯1603
永和智控
招商中证白酒A
锰硅707
亿纬锂能
上海三毛
线型低密度聚乙烯1711
中国重汽
沪深1312
沪深1211
豆粕0308
西宁特钢
利达光电
浦发银行
凯迪生态
伟星股份
金石东方
内地资源
菜籽油1005
科达股份
镍主力连续
维尔利
同达创业
茂业商业
动力煤1505
*ST大有
金雷风电
国投瑞银新兴市场股票(QDII-LOF)
海王生物
菜籽油1307
星星科技
180反向
和仁科技
银河通利债B
螺纹钢1208
资源80
易方达中证500ETF
S*ST龙昌
棕榈油1205
中创价值
300运输
上证公用
隆鑫通用
聚丙烯1604
宏达矿业
沥青1802
铝0309
豆一0409
金徽酒
千山药机
大豆0203
PTA1404
硬麦0209
驰宏锌锗
深证下游
聚氯乙烯1208
豆粕0301
强麦1009
汇金科技
石油沥青1411
铁矿石1709
动力煤1401
棉花1005
沪深1207
*ST宏盛
聚氯乙烯1501
中创100
聚丙烯1602
哈药股份
高争民爆
锡1802
新易盛
铝指数连续
玻璃1501
通化金马
财通多策略福瑞定期开放混合
博时保证金实时交易ETF
天然橡胶0805
富瑞特装
西南证券
吉视传媒
锌1509
华立股份
绿庭投资
硬麦0605
中原内配
聚丙烯1501
海得控制
锌1108
宁夏建材
前海开源中航军工B
华夏医药ETF
万方发展
天然橡胶0506
深报指数
上海贝岭
铅1307
福成股份
海富通上证周期ETF
菜籽油0901
铝0903
聚乙烯0901
国泰TMT50B
焦炭1601
细木工板1708
石油沥青主力连续
锌1807
汇添富收益快钱货币A
央企100
上证指数连续
瑞特股份
中科创达
中煤能源
豆粕0709
爱普股份
信诚四国配置(QDII-FOF-LOF)
一汽富维
硬白小麦1207
信维通信
螺纹钢1511
镍1711
工业指数
央企红利
铁矿石1607
金贵银业
*ST中绒
天然橡胶0809
安德利
奥普光电
菜籽油1611
交通银行
天然橡胶1408
鸡蛋1604
上证1601
雷曼股份
鹏华一带一路分级A
中航重机
*ST中富
白砂糖705
嘉实H股指数(QDII-LOF)
强麦0501
宁波热电
宇通客车
中海达
信息技术指数
迪威视讯
重庆建工
赤峰黄金
焦炭1405
老凤祥
铜0903
光大银行
粳稻809
燃料油1603
闻泰科技
贵绳股份
司尔特
安图生物
小康指数
铅1507
沪智能造
铜0712
恒星科技
锌0910
强麦0511
镍1601
道明光学
久之洋
锡1606
铝0506
白糖1009
铅1112
悦心健康
南卫股份
黄金1506
金龙羽
铝1705
龙源技术
锡1507
深证红利
泛微网络
紫光股份
工业ETF
雅本化学
医药100
棉花主力连续
中证电信
常山药业
豆一1307
油菜籽811
硅铁709
燃料油0609
万讯自控
早籼稻1511
铜1204
远达环保
横河模具
万隆光电
聚丙烯1601
聚乙烯1310
中公高科
易明医药
铜9906
内地低碳
雅戈尔
天然橡胶1503
聚乙烯1504
香飘飘
富煌钢构
PTA1103
聚丙烯1503
300美元对冲
500等权
招商中证煤炭A
白银1610
丝路视觉
国泰大宗商品(QDII-LOF)
普通小麦707
硬麦0703
浦银安盛增利分级债券A
采掘
九州通
燃料油1303
玻璃1402
沪深1304
玻璃712
中储股份
食品饮料
螺纹钢1611
顺鑫农业
精对苯二甲酸806
先达股份
华宝油气
多氟多
菜籽粕1601
鸡蛋1706
天然橡胶1007
豆油1305
*ST国瓷
铅1612
粳稻803
海洋王
太极股份
日出东方
黄金1210
金利华电
金卡智能
锰硅1606
棕榈油0910
PTA0803
白银主力连续
宜华健康
螺纹钢1601
豆粕1105
大东方
聚龙股份
豆油1203
菜籽粕主力连续价差平滑
铜0103
棕榈油1603
百傲化学
鹏华资源A
黄大豆2号1801
鹏华中证国防指数分级B
仰帆控股
锡1711
白糖0909
棕榈油1707
海越股份
*ST佳电
PTA0907
金种子酒
长债1603
线材1508
晚籼稻711
豆粕1307
白糖0709
绿豆0903
铝0202
铝1706
宝鼎科技
国创高新
陕西黑猫
深证700成长
棕榈油1104
启明星辰
焦炭1605
鸡蛋1404
5年信用
聚乙烯1009
神州长城
焦炭1208
音飞储存
棕榈油1411
韶钢松山
国投瑞银瑞利灵活配置混合(LOF)
中国联通
红利100
四方股份
非银金融
铜0701
机械设备
宝泰隆
银都股份
天音控股
三雄极光
中京电子
桃李面包
铅1704
甲醇1311
沪深1101
铜0707
ST新梅
新日股份
浙大网新
天壕环境
锡1607
菜籽粕1509
刚泰控股
豆粕1605
豆二1703
美诺华
豆油0607
黄金1004
恒锋工具
强麦1607
冶金焦炭1809
长城汽车
建信现金添益货币H
焦煤1511
沥青1710
油菜籽1308
豆二0905
白银1506
线材1702
人福医药
线材1402
绿豆0209
热轧卷板1510
强力新材
易方达岁丰添利债券(LOF)
300基建
央视创新
天赐材料
上海亚虹
螺纹钢1203
申万菱信申万进取
铜0310
早籼稻0911
棕榈油1404
铜0211
甲醇1608
鱼跃医疗
德艺文创
海源机械
PTA1412
重庆百货
上海凤凰
华力创通
智光电气
甲醇1411
豆一0305
铝0410
螺纹钢1411
盛运环保
聚乙烯1101
铝1603
威星智能
三一重工
鹏华动力增长混合(LOF)
白银1407
胶合板1510
天然橡胶0305
东音股份
燃料油1009
湘潭电化
胶合板1412
高新发展
焦煤1706
海航创新
铝1803
沥青1711
豆一0407
金花股份
强麦0603
纤维板1507
计算机
黄河旋风
线材1511
螺纹钢1501
聚氯乙烯1201
焦作万方
赢时胜
汇源通信
亿利洁能
锌1511
燃料油1604
奥马电器
中创高新
燃料油1206
红阳能源
鹏华银行A
天然橡胶0109
沪可选红
动力煤708
国投中鲁
S*ST佳纸
大豆9901
富国银行A
鄂尔多斯
君禾股份
豆二1503
朗玛信息
凯美特气
华安中证医药ETF
铝0610
螺纹钢1107
上证10年期国债ETF
华夏能源ETF
铝0205
锌1407
燃料油1702
华测检测
环渤海
锡1608
智云股份
螺纹钢1609
通用股份
富国中证智能汽车指数(LOF)
棕榈油1111
菜籽油1503
铝0902
国泰上证5年期国债ETF
国证有色
时代新材
白银1810
强麦0911
铜9902
康强电子
濮阳惠成
华润元大中创100ETF
锌1808
线材1104
早籼稻1703
海富通美元债QDII(人民币)
宜昌交运
精对苯二甲酸807
四通新材
铁矿石1510
东信和平
福鞍股份
天然橡胶0909
聚乙烯1501
螺纹钢0912
5年期国债1709
铜0503
胶合板1411
白糖0703
华安中证银行B份额
硅铁1608
铝0307
300材料
沪大农业
锡1708
中持股份
铅1410
聚乙烯1308
吉大通信
铁矿石1603
国证医药
白银1310
聚乙烯1407
棉纱806
中小高贝
汇添富中证500指数(LOF)A
玻璃811
惠博普
中船科技
300高贝
PTA1201
豆一1507
棉花1605
爱建集团
锌1102
三垒股份
燃料油0804
广发聚利债券(LOF)
世茂股份
燃料油1110
申万环保A
聚丙烯1610
铅1309
华夏银行
全指消费
黄玉米1803
天能重工
黄金1310
新湖创业
玲珑轮胎
晚籼稻主力连续价差平滑
申万证券A
豆一0309
铅1808
中文传媒
翠微股份
依米康
招商国证生物医药B
诺安进取
圣达生物
鞍钢股份
兴业科技
大博医疗
PTA0805
燃料油1810
铁矿石1406
南京化纤
棕榈油1611
线材1308
锰硅808
焦炭1606
金安国纪
热轧卷板1506
国金上证50
华宝美国消费(QDII-LOF)
豆粕1811
海欣食品
德尔未来
晚籼稻807
晚籼稻指数连续
黄金1002
延长化建
东兴证券
铝9906
铭普光磁
棕榈油1202
铁矿石1610
PTA1407
菜籽油1409
海汽集团
聚乙烯1409
丰华股份
金财互联
东山精密
绿豆9909
东阿阿胶
上海莱士
铅1608
河钢股份
银华转债B
证通电子
国富中证100指数增强分级B
聚乙烯1107
燃料油1308
深市精选
铜0102
棕榈油1710
华铁科技
华新水泥
天龙股份
油菜籽709
通策医疗
菜籽粕1501
大豆0103
聚氯乙烯1112
海澜之家
九安医疗
金力泰
铝1211
天然橡胶1208
聚乙烯主力连续价差平滑
易方达创业板ETF
天然橡胶1307
棕榈油1804
早籼稻1311
永吉股份
上证周期
铝0210
铝0807
海天味业
中国电影
东方通
天然橡胶1410
铝0401
早籼稻1701
龙蟒佰利
豆二0607
航发动力
铅1402
新钢股份
栖霞建设
国泰国证航天军工指数(LOF)
安通控股
豆二1303
南方上证380ETF
天圣制药
江化微
聚乙烯1512
富国煤炭B
亚士创能
螺纹钢1404
键桥通讯
燃料油1005
燃料油1207
宏大爆破
华鑫股份
天然橡胶0907
富国新能源汽车B
青岛双星
国企红利
国联安双禧A中证100指数
棕榈油0810
中密度纤维板1802
上海电力
锌0912
立思辰
绿豆0309
豆粕1012
易方达银行B
地产指数
冶金焦炭1801
焦煤1806
深成消费
中国铁建
围海股份
珍宝岛
三房巷
江南化工
铁矿石1409
深证地产
*ST普林
锌1006
中材节能
天然橡胶0509
豆油1108
甲醇1508
上证1701
国泰中证军工ETF
温州宏丰
包钢股份
180资源
燃料油0909
鸡蛋1708
新安股份
线材1611
起步股份
雪莱特
燃料油0501
棕榈油1504
飞利信
铝1204
华孚时尚
动力煤1604
纳思达
豆二1103
玉米淀粉1707
泰山石油
广泽股份
中证材料净收益美元
大豆0009
商赢环球
天然橡胶1207
菜籽油1605
棕榈油1602
豆粕0109
特发信息
广百股份
广发中证军工ETF
鸿达兴业
胶合板1607
180基本
三木集团
铅1609
上证F300
江苏阳光
豆粕1108
新研股份
中集集团
棕榈股份
天宸股份
中联重科
铝0607
思美传媒
焦炭1506
天然橡胶1107
京投发展
美菱电器
沪深1702
银宝山新
豆二0505
铜0911
棉花0610
天然橡胶1807
天然橡胶0410
豆二0707
PTA1302
S*ST金荔
绿盟科技
铝0201
豆一1409
豆二1011
动力煤1501
铅1408
洛阳钼业
依顿电子
铜0002
豆油0701
甲醇1206
中欧新动力混合A(LOF)
黄金1005
上海物贸
锌1004
油菜籽1509
国美通讯
沪深1005
长城久兆积极指数
螺纹钢1603
强麦1507
大连港
玻璃1407
中证医药净收益美元
普麦1403
红墙股份
甲醇1207
石油沥青1605
螺纹钢1312
国金上证50B
浦银沪港深基本面
豆一0311
隧道股份
万家乐
铜陵有色
黄大豆1号1903
金洲管道
甲醇712
豆一1601
铜0606
探路者
江西长运
锌1710
华灿光电
联化科技
中银盛利定期开放债券(LOF)
恩华药业
安琪酵母
铜0212
黄金0906
白糖1511
铜0611
硬麦0701
美盛文化
南华仪器
宝鹰股份
益佰制药
小盘低波
菜籽油0801
格林美
铝0703
金银河
铅主力连续价差平滑
洁美科技
苏试试验
铅1802
锌1610
冶金焦炭1803
经纬纺机
安信一带一路B
万马科技
申万菱信中证申万健康指数(LOF)
铜0202
新力金融
棕榈油1801
沪金融红
大唐发电
三五互联
日月股份
中兴商业
铜0401
鸡蛋1506
四川路桥
克来机电
博晖创新
华鲁恒升
豆粕1001
PTA1209
券商A
铝9911
铅1312
国证1000
当升科技
雷迪克
白糖1305
纤维板1503
棉花0603
白银指数连续
江泉实业
全指价值
焦炭1112
聚氯乙烯1302
时代出版
腾邦国际
黑猫股份
中证1509
博汇纸业
燃料油1412
技术领先
燃料油1104
锌1801
豆粕主力连续价差平滑
长春一东
热轧卷板1611
早籼稻1505
天然橡胶1501
黄金1510
锰硅1501
拓邦股份
上证流通
铝0408
豆一1107
燃料油0503
黔轮胎A
鹏华酒分级B
铝1507
玉米1205
豆二1003
无锡银行
石油沥青1601
棕榈油1010
中国动力
沪深1210
铝1110
中恒电气
PTA1701
铅1302
华邦健康
锌1002
南方轴承
聚乙烯0905
粳稻谷1605
纳尔股份
苏泊尔
龙江交通
上海环境
焦煤1311
汇添富中证金融地产ETF
热轧卷板1702
中装建设
黄山旅游
焦炭1205
水星家纺
渤海轮渡
国泰医药A
棕榈油1102
步长制药
聚乙烯0811
山东地矿
太龙照明
铜1610
天健集团
沪深1208
铝0209
锌1405
纤维板1608
氯碱化工
纤维板1603
棕榈油1008
菜籽油707
中国平安
信雅达
华瑞股份
PTA0705
300公用
豆粕1408
长债1606
纤维板1610
豆油1308
诚益通
北特科技
合众思壮
*ST一重
豆一0401
民企200
棉花1503
沪深1411
尖峰集团
天舟文化
螺纹钢1006
杉杉股份
诺德300B
晚籼稻1507
黄玉米1709
铅1205
恒力股份
菜籽油主力连续价差平滑
通宝能源
中创400
黄金1801
绿豆0907
白银1804
广电运通
伊力特
铝0709
豆油1508
易方达保证金货币A
科士达
锌1802
白云山
白银1507
我武生物
白糖主力连续价差平滑
国债1506
锡1601
硬麦0609
雪峰科技
双环科技
贝达药业
强麦1305
晚籼稻1701
焦煤1404
中证申万电子分级A
上证50指数1704
上证1608
众信旅游
杭州园林
隆基机械
国统股份
豆一0707
燃料油0605
长盛同辉深100等权重B
线材1103
富国工业4.0B
大豆0109
中鼎股份
蓝英装备
游族网络
石油沥青1409
深医药50
*ST华菱
国泰价值经典灵活配置混合(LOF)
金鸿顺
玻璃1701
动力煤808
万和电气
绿豆0503
海亮股份
中国中铁
铝1703
陕天然气
锌0707
燃料油1205
硬白小麦0911
未名医药
信诚全球商品主题(QDII-FOF-LOF)
豆油1005
碧水源
新时达
镍1603
银禧科技
普麦1309
线材1711
杭萧钢构
大豆0107
医药生物
四方达
兴森科技
白糖1105
线型低密度聚乙烯1708
优质强筋小麦705
天然橡胶1011
中密度纤维板1710
上证材料
细木工板1808
豆油1601
今飞凯达
上证军工
豆粕1107
国投瑞银新兴产业混合(LOF)
长春燃气
玻璃1406
线材1605
铁矿石1511
锌0906
豆一1701
螺纹钢1108
全柴动力
动力煤710
硬麦0707
可立克
领先行业
白糖1409
天然橡胶1608
聚氯乙烯1308
医药生物
豆粕1708
斯莱克
开滦股份
振华科技
铁矿石1704
早籼稻1105
深证1000
绿豆0607
国证红利
鹏华证券B
绿豆0109
铜0908
普通小麦711
锡1806
华鹏飞
绿豆0311
工银环保B
民生控股
国睿科技
四川成渝
镍1807
正泰电器
龙元建设
中国核建
医药100
菜籽粕709
细木工板1804
重庆水务
白银1802
白银1401
新晨科技
硅铁1411
天然橡胶1407
大丰实业
石油沥青1512
哈投股份
聚氯乙烯1104
合力科技
聚乙烯0803
豆一0709
金山股份
棕榈油1101
江苏国信
豆二0911
东材科技
骆驼股份
镍1810
*ST圣莱
燃料油1105
*ST京城
线材1601
300价值
双环传动
日上集团
首旅酒店
铝0604
白砂糖711
螺纹钢1410
莱钢股份
纤维板1508
大唐电信
聚乙烯1307
如意集团
盈方微
龙津药业
铝0704
消费80
沪深1010
鸡蛋1804
乐通股份
聚乙烯1109
华安国际龙头ETF(QDII)
冶金焦炭1709
国投瑞银白银期货(LOF)
聚氯乙烯1407
热轧卷板1604
小盘价值
中交地产
迪瑞医疗
铝0006
*ST新城
甲醇指数连续（旧）
线材1409
华星创业
豆二1405
*ST爱富
甲醇809
豆一1509
PTA0801
动力煤811
菜籽油1501
皇氏集团
铜0410
数据港
锦江股份
朗迪集团
铝0502
宝利国际
辉煌科技
东华能源
高能环境
*ST东海A
聚氯乙烯1204
玉米0605
盘龙药业
百润股份
中证红利
京东方A
老白干酒
菜籽粕705
乾照光电
银座股份
棕榈油1105
鸡蛋1610
易方达军工指数分级B
顺灏股份
宁波港
神宇股份
天翔环境
硬白小麦1007
黄大豆1号1807
科大智能
岷江水电
白银1306
蒙草生态
聚乙烯0908
中体产业
棉花0701
山鹰纸业
安防产业
铁矿石1509
三晖电气
国际实业
水电煤气指数
线型低密度聚乙烯1807
龙洲股份
东吴深证100指数增强(LOF)
菜籽粕1703
棉纱802
必康股份
中证信息
PTA1605
铜1111
鲁阳节能
动力煤807
长江电力
康普顿
豆二1305
聚氯乙烯1301
正平股份
佳创视讯
耐威科技
德展健康
易方达黄金主题(QDII-LOF-FOF)
1000公用
PTA1410
硬白小麦1101
锌0712
菜籽粕1507
银华金利
天然橡胶0010
菜籽粕808
铜1410
爱乐达
500深市
500低贝
阿石创
美亚柏科
铜0504
现代制药
威龙股份
晚籼稻1501
豆二0605
烽火通信
中国国航
棕榈油1704
中原高速
铅1406
云内动力
PTA1601
普麦1607
菜籽油1011
线材1710
信达澳银稳定增利债券(LOF)
中直股份
实丰文化
豆二1701
浙江仙通
豆粕1711
棕榈油1109
豆粕0401
PTA1507
标准股份
铝0701
信诚深度价值混合(LOF)
得利斯
沈阳化工
PTA1001
华锦股份
中科金财
豆一1303
益丰药房
铁矿石1708
焦炭1310
聚丙烯1711
锌1502
利亚德
东华测试
易方达生物科技A
焦炭1311
铅1705
豆粕0411
黄大豆1号1711
国投电力
螺纹钢1308
菜籽粕1605
铝0301
园城黄金
绩效指数
大东南
硬麦0801
上证沪企
一心堂
深华发A
黄金1312
聚氯乙烯1511
中高企债
合肥百货
精对苯二甲酸709
线材1309
深证新兴
线材1009
铁矿石1710
锌1711
上证主力连续价差平滑
中证消费
远光软件
大摩资源优选混合(LOF)
长青股份
金晶科技
铁矿石1410
营口港
甲醇803
铜0608
中信海直
玻璃1410
棉花0703
西部利得中证500等权重指数分级
石化油服
燃料油1405
锡1704
国盛金控
西陇科学
阳光电源
锡1703
菜籽油1405
沪深1204
深证农业
捷荣技术
投资时钟
聚氯乙烯1702
铝0508
招商中证商品A
强麦0701
科隆股份
黄金1012
豆油0801
热轧卷板1703
油菜籽1508
1000能源
菜籽油1701
镍1704
线型低密度聚乙烯1707
四川长虹
浙江医药
深赛格
长春经开
内地农业
白银1301
精准信息
龙马环卫
华录百纳
深高速
新联电子
蓝黛传动
锌1505
黄金1406
东方电子
畅联股份
豆一0505
豆粕0403
天然橡胶1808
振华重工
白银1311
中证上海国企ETF
鸡蛋1410
沪深1201
豆油0903
硅铁808
燃料油1509
珠江实业
得邦照明
聚丙烯1511
180反两
棕榈油1011
招商证券
棉花1403
聚丙烯1808
岱勒新材
广发货币E
鼎捷软件
长盛同丰分级债券B
金辰股份
中银信用增利债券(LOF)
强麦1403
桐昆股份
扬子新材
飞亚达A
冶金焦炭1802
星徽精密
纤维板1504
螺纹钢1110
棕榈油0902
奥拓电子
上证1610
天然橡胶0403
天方药业
豆粕0603
金陵体育
白银1701
铜0508
强麦1611
深证F120
强麦0707
白银1212
汇添富中证生物科技指数(LOF)C
科锐国际
焦炭1302
铜1510
姚记扑克
聚乙烯1212
铅1310
中小治理
引力传媒
国投瑞银瑞和远见沪深300指数
东方中科
沪深1008
维科精华
中国武夷
黄大豆2号1806
中证能源
豆一1511
180公用
博雅生物
*ST创智
圣农发展
中再资环
普通小麦801
瑞康医药
粳稻谷1507
嘉实深证基本面120ETF
沪消费红
国检集团
银河生物
锌0805
菜籽粕1408
