date,name,circulation_a,management_circulation,non_circulation_a,total_a,total
2015/7/29,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/7/30,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/7/31,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/8/3,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/8/4,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/8/5,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/8/6,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/8/7,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/8/10,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/8/11,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/8/12,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/8/13,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/8/14,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/8/17,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/8/18,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/8/19,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/8/20,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/8/21,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/8/24,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/8/25,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/8/26,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/8/27,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/8/28,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/8/31,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/9/1,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/9/2,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/9/7,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/9/8,浦发银行,14922777132,,3730694283,18653471415,18653471415
2015/9/9,浦发银行,14922777132,,3730694283,18653471415,18653471415
